departure_datetime,origin,destination,airline,price_eur,num_stops,travel_time_minutes,days_left
2025-10-10 11:20:00,HAM,GRX,VuelingIberia,358,1,305,26
2025-10-12 22:25:00,GRX,HAM,VuelingIberia,188,1,720,28
2025-10-13 17:45:00,AGP,HAM,Iberia,368,1,300,29
2025-10-15 05:30:00,HAJ,AGP,Eurowings,290,0,200,31
2025-10-16 14:45:00,HAJ,AGP,SWISS,220,1,565,32
2025-10-17 14:40:00,HAM,AGP,Eurowings,250,0,210,33
2025-10-19 13:20:00,AGP,HAM,Iberia,297,1,350,35
2025-10-20 22:45:00,GRX,HAM,VuelingIberia,145,1,730,36
2025-10-22 08:35:00,HAJ,AGP,Lufthansa,166,1,305,38
2025-10-23 09:55:00,HAJ,AGP,SWISS,220,1,360,39
2025-10-24 06:15:00,BRE,AGP,Lufthansa,218,1,315,40
2025-10-26 22:30:00,GRX,HAM,VuelingIberia,278,1,715,42
2025-10-27 16:25:00,AGP,BRE,KLM,434,1,335,43
2025-10-29 15:55:00,HAM,GRX,Iberia,173,1,315,45
2025-10-30 20:20:00,HAJ,AGP,SWISS,191,1,285,46
2025-10-31 06:10:00,BRE,AGP,"KLM, Transavia",224,1,415,47
2025-11-02 09:20:00,GRX,HAM,Iberia,622,1,355,49
2025-11-03 22:30:00,GRX,HAM,VuelingIberia,170,1,715,50
2026-01-29 10:40:00,MXP,HAM,SWISS,144,1,210,137
2026-01-30 06:55:00,MXP,HAM,"Air Dolomiti, Lufthansa",145,1,190,138
2026-02-01 17:50:00,HAM,MXP,Eurowings,70,0,105,140
2026-02-02 11:05:00,HAM,MXP,SWISS,136,1,185,141
2026-02-05 15:15:00,MXP,HAM,SWISS,144,1,235,144
2026-02-06 15:05:00,MXP,HAM,SWISS,144,1,255,145
2026-02-08 09:20:00,HAM,MXP,"Lufthansa, Air Dolomiti",129,1,195,147
2026-02-09 11:05:00,HAM,MXP,SWISS,136,1,185,148
2026-02-12 15:15:00,MXP,HAM,SWISS,144,1,235,151
2026-02-13 06:55:00,MXP,HAM,"Air Dolomiti, Lufthansa",145,1,190,152
2026-02-15 11:30:00,HAM,MXP,Condor,131,1,220,154
2026-02-16 11:05:00,HAM,MXP,SWISS,136,1,185,155
2026-02-19 15:15:00,MXP,HAM,SWISS,144,1,235,158
2026-02-20 06:55:00,MXP,HAM,"Air Dolomiti, Lufthansa",145,1,190,159
2026-02-22 13:35:00,HAM,MXP,Lufthansa,182,1,185,161
2026-02-23 11:05:00,HAM,MXP,SWISS,136,1,185,162
2026-02-26 06:45:00,MXP,HAM,SWISS,144,1,210,165
2026-02-27 15:05:00,MXP,HAM,SWISS,144,1,255,166
2026-03-01 18:00:00,HAM,MXP,"Lufthansa, Air Dolomiti",137,1,240,168
2026-03-02 13:35:00,HAM,MXP,Lufthansa,129,1,185,169
2026-03-05 06:45:00,MXP,HAM,SWISS,144,1,210,172
2026-03-06 14:40:00,MXP,HAM,"Air Dolomiti, Lufthansa",145,1,205,173
2026-03-08 14:55:00,HAM,MXP,SWISS,189,1,190,175
2026-03-09 14:50:00,HAM,MXP,"SWISS, Air Baltic",136,1,205,176
2026-03-12 06:45:00,MXP,HAM,SWISS,144,1,210,179
2026-03-13 06:55:00,MXP,HAM,"Air Dolomiti, Lufthansa",145,1,190,180
2026-03-15 09:50:00,HAM,MXP,SWISS,136,1,255,182
2026-03-16 14:50:00,HAM,MXP,"SWISS, Air Baltic",136,1,205,183
2026-03-19 10:40:00,MXP,HAM,SWISS,144,1,210,186
2026-03-20 09:10:00,MXP,HAM,Lufthansa,145,1,235,187
2026-03-22 14:55:00,HAM,MXP,"SWISS, Air Baltic",189,1,190,189
2026-03-23 11:05:00,HAM,MXP,Vueling,128,1,360,190
2026-03-26 06:45:00,MXP,HAM,SWISS,144,1,210,193
2026-03-27 14:40:00,MXP,HAM,"Air Dolomiti, Lufthansa",145,1,205,194
2026-03-29 20:00:00,HAM,MXP,SWISS,136,1,215,196
2026-03-30 07:05:00,HAM,MXP,Eurowings,45,0,110,197
2026-04-02 08:35:00,MXP,HAM,Brussels Airlines,194,1,225,200
2026-04-03 14:35:00,MXP,HAM,"Air Dolomiti, Lufthansa",195,1,330,201
2026-04-05 14:00:00,HAM,MXP,Lufthansa,120,1,240,203
2026-04-06 15:00:00,HAM,MXP,Lufthansa,120,1,225,204
2026-01-29 12:15:00,AGP,HAM,Lufthansa,136,1,305,137
2026-01-30 15:30:00,AGP,HAM,Brussels Airlines,129,1,405,138
2026-02-01 07:00:00,HAM,AGP,Iberia,110,1,595,140
2026-02-05 10:05:00,AGP,HAM,Eurowings,80,0,200,144
2026-02-06 13:00:00,AGP,HAM,SWISS,180,1,295,145
2026-02-08 11:00:00,HAM,AGP,Lufthansa,211,1,320,147
2026-02-12 13:00:00,AGP,HAM,SWISS,156,1,295,151
2026-02-13 13:00:00,AGP,HAM,SWISS,135,1,295,152
2026-02-15 20:45:00,HAM,GRX,Vueling,93,1,735,154
2026-02-19 13:40:00,AGP,HAM,Austrian,176,1,340,158
2026-02-20 12:15:00,AGP,HAM,Lufthansa,231,1,305,159
2026-02-22 06:15:00,HAM,AGP,Lufthansa,282,1,310,161
2026-02-26 13:00:00,AGP,HAM,SWISS,135,1,295,165
2026-02-27 12:15:00,AGP,HAM,Lufthansa,231,1,305,166
2026-03-01 20:10:00,HAM,AGP,SWISS,237,1,295,168
2026-03-05 22:30:00,GRX,HAJ,Vueling,98,1,855,172
2026-03-06 09:35:00,GRX,HAM,Vueling,98,1,625,173
2026-03-08 20:10:00,HAM,AGP,SWISS,170,1,295,175
2026-03-12 09:10:00,AGP,HAM,Iberia,157,1,365,179
2026-03-13 05:35:00,AGP,HAM,SWISS,156,1,740,180
2026-03-15 20:10:00,HAM,AGP,SWISS,144,1,295,182
2026-03-19 13:00:00,AGP,HAM,SWISS,135,1,295,186
2026-03-20 09:50:00,AGP,BRE,Eurowings,190,1,315,187
2026-03-22 11:05:00,HAM,AGP,VuelingIberia,163,1,375,189
2026-03-26 22:30:00,GRX,HAJ,Vueling,130,1,855,193
2026-03-27 17:35:00,AGP,HAM,Iberia,314,1,305,194
2026-03-29 06:00:00,HAM,AGP,Air France,136,1,780,196
2026-04-02 10:05:00,AGP,HAM,EurowingsLufthansa,160,1,410,200
2026-04-03 22:45:00,GRX,HAM,Vueling,155,1,710,201
2026-04-05 19:15:00,HAM,AGP,SWISS,201,1,295,203
2026-02-12 06:00:00,AGP,TFS,Tap Air Portugal,269,1,430,151
2026-02-13 20:25:00,AGP,TFN,VuelingIberia,65,0,150,152
2026-02-15 20:25:00,TFN,GRX,Vueling,215,1,695,154
2026-02-19 22:30:00,GRX,TFN,Vueling,213,1,740,158
2026-02-20 08:30:00,AGP,TFN,Air Europa,144,1,565,159
2026-02-22 10:30:00,TFN,AGP,VuelingIberia,207,1,350,161
2025-11-13 13:00:00,AGP,HAM,SWISS,288,1,295,59
2025-11-15 13:40:00,AGP,HAM,Austrian,284,1,340,61
2025-11-16 12:15:00,AGP,HAM,Lufthansa,347,1,305,62
2025-10-31 18:30:00,AGP,HAM,Eurowings,430,0,200,46
2025-11-02 15:55:00,HAM,GRX,Iberia,226,1,315,48
2025-10-29 10:05:00,HAJ,AGP,SWISS,165,1,330,44
2025-10-30 11:40:00,HAM,BIO,Brussels Airlines,170,1,270,45
2025-10-31 14:20:00,HAM,AGP,Eurowings,220,0,200,46
2025-11-02 10:40:00,AGP,BRE,"Transavia, KLM",319,1,430,48
2025-11-03 18:05:00,BIO,HAJ,"Air France, HOP!",270,1,240,49
2025-11-07 10:40:00,AGP,HAM,"Transavia, KLM",78,1,435,53
2025-11-09 11:20:00,HAM,AGP,"KLM, Transavia",104,1,500,55
2025-11-05 19:50:00,BRE,AGP,SWISS,147,1,315,51
2025-11-06 07:20:00,HAJ,MAD,Air France,135,1,480,52
2025-11-07 20:45:00,HAM,BIO,VuelingIberia,101,1,695,53
2025-11-09 05:30:00,AGP,HAJ,SWISS,154,1,495,55
2025-11-10 18:05:00,BIO,HAM,Air France,122,1,980,56
2025-11-14 09:50:00,AGP,BRE,Eurowings,170,1,315,60
2025-11-16 09:50:00,HAM,AGP,SWISS,144,1,355,62
2025-11-12 07:00:00,HAM,MAD,Iberia,126,0,180,58
2025-11-13 06:05:00,HAM,BIO,KLM,104,1,315,59
2025-11-14 11:05:00,HAM,BIO,VuelingIberia,122,1,355,60
2025-11-16 15:25:00,AGP,LBC,Ryanair,97,0,210,62
2025-11-17 20:45:00,MAD,HAM,Brussels Airlines,178,1,845,63
2025-11-21 10:20:00,AGP,HAM,"Tap Air Portugal, Portugalia - Companhia Portuguesa",153,1,90,67
2025-11-23 06:05:00,BRE,AGP,Lufthansa,156,1,345,69
2025-11-19 18:05:00,HAM,BIO,Air France,106,1,260,65
2025-11-20 10:50:00,HAJ,AGP,"KLM, Transavia",113,1,520,66
2025-11-21 07:00:00,HAM,MAD,Iberia,96,0,180,67
2025-11-23 19:05:00,AGP,HAM,Eurowings,150,0,200,69
2025-11-24 15:05:00,BIO,HAJ,Vueling,140,1,305,70
2025-11-28 13:00:00,AGP,HAM,SWISS,156,1,295,74
2025-11-30 11:05:00,HAM,GRX,Vueling,114,1,645,76
2025-11-26 10:05:00,HAJ,AGP,SWISS,165,1,330,72
2025-11-27 11:20:00,HAM,BIO,KLM,134,1,310,73
2025-11-28 12:30:00,HAM,AGP,"Scandinavian Airlines, Sas Connect",110,1,375,74
2025-11-30 17:20:00,BIO,HAM,KLM,201,1,275,76
2025-12-01 10:40:00,AGP,BRE,"Transavia, KLM",179,1,430,77
2025-12-05 10:40:00,AGP,BRE,"Transavia, KLM",102,1,430,81
2025-12-07 06:05:00,BRE,AGP,Lufthansa,156,1,345,83
2025-12-03 18:40:00,HAJ,BIO,Vueling,79,1,820,79
2025-12-04 10:20:00,HAJ,AGP,Scandinavian Airlines,137,1,440,80
2025-12-05 08:25:00,HAM,AGP,KLM,118,1,445,81
2025-12-07 11:55:00,BIO,HAM,KLM,91,1,360,83
2025-12-08 10:40:00,AGP,BRE,"Transavia, KLM",102,1,430,84
2025-12-12 14:25:00,GRX,HAM,Vueling,100,1,335,88
2025-12-14 09:30:00,BRE,AGP,"Lufthansa, Lufthansa City Airlines",180,1,355,90
2025-12-10 10:05:00,HAJ,AGP,SWISS,165,1,330,86
2025-12-11 10:20:00,HAJ,AGP,Scandinavian Airlines,165,1,440,87
2025-12-12 15:15:00,HAM,BIO,EurowingsLufthansa,160,1,240,88
2025-12-14 13:05:00,MAD,HAJ,KLM,92,1,275,90
2025-12-15 14:50:00,BIO,HAM,EurowingsLufthansa,120,1,260,91
2025-12-19 16:40:00,AGP,BRE,KLM,102,1,320,95
2025-12-21 11:05:00,HAM,GRX,Vueling,228,1,645,97
2025-12-17 07:00:00,HAM,MAD,Iberia,220,0,180,93
2025-12-18 06:05:00,HAJ,MAD,KLM,178,1,365,94
2025-12-19 11:05:00,HAM,AGP,VuelingIberia,185,1,805,95
2025-12-21 13:00:00,AGP,HAM,SWISS,135,1,295,97
2025-12-22 09:25:00,AGP,HAJ,VuelingIberia,152,1,315,98
2025-12-26 17:10:00,AGP,BRE,Lufthansa,169,1,325,102
2025-12-28 20:45:00,HAM,GRX,Vueling,204,1,735,104
2025-12-24 10:50:00,BRE,AGP,"KLM, Transavia",212,1,520,100
2025-12-25 20:45:00,HAM,AGP,VuelingIberia,152,1,890,101
2025-12-26 13:25:00,HAJ,BIO,Vueling,230,1,545,102
2025-12-28 17:20:00,BIO,HAM,KLM,201,1,275,104
2025-12-29 13:05:00,MAD,HAJ,KLM,146,1,275,105
2026-01-02 14:25:00,GRX,HAM,Vueling,421,1,335,109
2026-01-04 06:10:00,BRE,AGP,"KLM, Transavia",125,1,855,111
2025-12-31 07:15:00,HAM,MAD,Brussels Airlines,138,1,270,107
2026-01-01 20:20:00,HAJ,AGP,SWISS,165,1,950,108
2026-01-02 11:10:00,BRE,AGP,Lufthansa,189,1,290,109
2026-01-04 07:25:00,BIO,HAM,Lufthansa,243,1,415,111
2026-01-05 09:15:00,BIO,HAM,Iberia,188,1,360,112
2025-11-19 06:25:00,MAD,HAM,Brussels Airlines,147,1,265,65
2025-11-20 07:25:00,MAD,BRE,Lufthansa,146,1,305,66
2025-11-26 10:55:00,HAM,MAD,SWISS,137,1,470,72
2025-11-27 11:00:00,HAM,MAD,Lufthansa,145,1,300,73
2025-11-26 05:55:00,MAD,BRE,Lufthansa,154,1,280,72
2025-11-27 13:05:00,MAD,BRE,KLM,182,1,285,73
2025-12-03 11:20:00,HAM,MAD,KLM,105,1,285,79
2025-12-04 11:20:00,HAM,MAD,KLM,137,1,285,80
2025-12-03 06:25:00,MAD,HAM,Brussels Airlines,147,1,265,79
2025-12-04 16:50:00,MAD,HAM,KLM,138,1,305,80
2025-12-10 09:50:00,HAM,MAD,Scandinavian Airlines,194,1,380,86
2025-12-11 11:20:00,HAM,MAD,KLM,156,1,285,87
2025-10-01 15:45:00,HAM,MAD,Iberia,308,0,180,16
2025-10-02 10:10:00,BRE,MAD,KLM,356,1,375,17
2025-10-03 18:20:00,BRE,MAD,KLM,247,1,305,18
2025-10-05 16:15:00,MAD,HAM,Iberia,529,0,175,20
2025-10-06 10:45:00,BIO,HAM,Scandinavian Airlines,229,1,500,21
2025-10-08 08:35:00,HAM,BIO,"EurowingsLufthansa, Eurowings Europe",160,1,300,23
2025-10-09 15:45:00,HAM,MAD,Iberia,240,0,180,24
2025-10-10 15:30:00,HAM,BIO,EurowingsLufthansa,336,1,240,25
2025-10-12 06:00:00,MAD,HAJ,Air France,208,1,540,27
2025-10-13 08:55:00,BIO,HAJ,VuelingIberia,160,1,280,28
2025-10-15 18:40:00,HAJ,BIO,Lufthansa,270,1,250,30
2025-10-16 06:55:00,HAM,MAD,LOT,152,1,460,31
2025-10-17 06:50:00,HAM,MAD,Iberia,240,0,180,32
2025-10-19 19:05:00,BIO,HAJ,Lufthansa,282,1,240,34
2025-10-20 12:05:00,MAD,HAM,Iberia,305,0,180,35
2025-10-22 18:35:00,HAM,BIO,KLM,176,1,250,37
2025-10-23 06:00:00,HAJ,BIO,"KLM, KLM Cityhopper",121,1,315,38
2025-10-24 18:15:00,HAJ,BIO,"KLM, KLM Cityhopper",138,1,270,39
2025-10-26 12:15:00,MAD,HAM,Iberia,345,0,180,41
2025-10-27 12:15:00,MAD,HAM,Iberia,290,0,180,42
2025-10-29 10:20:00,HAJ,MAD,Scandinavian Airlines,165,1,350,44
2025-10-30 07:15:00,HAM,MAD,Brussels Airlines,138,1,270,45
2025-10-31 18:35:00,HAJ,MAD,Air France,126,1,875,46
2025-11-02 06:45:00,BIO,HAJ,Lufthansa,213,1,940,48
2025-10-01 14:20:00,HAJ,AGP,VuelingIberia,155,1,555,16
2025-10-02 06:10:00,HAM,AGP,"KLM, Transavia",241,1,350,17
2025-10-03 11:20:00,HAM,GRX,VuelingIberia,328,1,305,18
2025-10-05 17:45:00,AGP,HAM,Iberia,624,1,300,20
2025-10-06 19:15:00,AGP,HAM,Eurowings,430,0,195,21
2025-10-08 19:10:00,HAM,AGP,SWISS,332,1,300,23
2025-10-09 10:10:00,BRE,AGP,"KLM, Transavia",171,1,545,24
2025-10-10 06:15:00,BRE,AGP,"KLM, Transavia",224,1,800,25
2025-10-12 11:10:00,AGP,HAM,EurowingsLufthansa,306,1,350,27
2025-10-13 17:45:00,AGP,HAM,Iberia,368,1,300,28
2025-10-15 15:20:00,HAM,AGP,Norwegian,202,1,495,30
2025-10-16 14:45:00,HAJ,AGP,SWISS,220,1,565,31
2025-10-17 14:20:00,HAM,AGP,"Eurowings, Avion Express Malta",230,1,315,32
2025-10-19 06:30:00,AGP,HAM,VuelingIberia,190,1,870,34
2025-10-20 19:55:00,AGP,HAJ,Air France,153,1,780,35
2025-10-22 08:35:00,HAJ,AGP,Lufthansa,166,1,305,37
2025-10-23 06:15:00,BRE,AGP,"KLM, Transavia",186,1,345,38
2025-10-24 11:20:00,HAM,GRX,VuelingIberia,246,1,305,39
2025-10-26 22:30:00,GRX,HAM,VuelingIberia,278,1,715,41
2025-10-27 05:35:00,AGP,HAM,"SWISS, Eurowings",318,1,335,42
2025-10-29 11:10:00,HAM,GRX,VuelingIberia,150,1,410,44
2025-10-30 20:45:00,HAM,AGP,VuelingIberia,115,1,715,45
2025-10-31 09:45:00,HAJ,AGP,SWISS,220,1,345,46
2025-11-02 20:30:00,AGP,HAM,VuelingIberia,244,1,835,48
2025-11-03 06:30:00,GRX,HAM,Iberia,328,1,525,49
2026-01-29 10:40:00,MXP,HAM,SWISS,144,1,210,136
2026-01-30 06:55:00,MXP,HAM,"Air Dolomiti, Lufthansa",145,1,190,137
2026-02-01 17:50:00,HAM,MXP,Eurowings,63,0,105,139
2026-02-02 11:05:00,HAM,MXP,SWISS,136,1,185,140
2026-02-05 15:15:00,MXP,HAM,SWISS,144,1,235,143
2026-02-06 15:05:00,MXP,HAM,SWISS,144,1,255,144
2026-02-08 09:20:00,HAM,MXP,"Lufthansa, Air Dolomiti",129,1,195,146
2026-02-09 11:05:00,HAM,MXP,SWISS,136,1,185,147
2026-02-12 15:15:00,MXP,HAM,SWISS,144,1,235,150
2026-02-13 06:55:00,MXP,HAM,"Air Dolomiti, Lufthansa",145,1,190,151
2026-02-15 11:30:00,HAM,MXP,Condor,131,1,220,153
2026-02-16 11:05:00,HAM,MXP,SWISS,136,1,185,154
2026-02-19 15:15:00,MXP,HAM,SWISS,144,1,235,157
2026-02-20 06:55:00,MXP,HAM,"Air Dolomiti, Lufthansa",145,1,190,158
2026-02-22 13:35:00,HAM,MXP,Lufthansa,182,1,185,160
2026-02-23 11:05:00,HAM,MXP,SWISS,136,1,185,161
2026-02-26 06:45:00,MXP,HAM,SWISS,144,1,210,164
2026-02-27 06:55:00,MXP,HAM,"Air Dolomiti, Lufthansa",145,1,190,165
2026-03-01 18:00:00,HAM,MXP,"Lufthansa, Air Dolomiti",137,1,240,167
2026-03-02 07:05:00,HAM,MXP,Condor,131,1,205,168
2026-03-05 06:45:00,MXP,HAM,SWISS,144,1,210,171
2026-03-06 09:10:00,MXP,HAM,Lufthansa,145,1,235,172
2026-03-08 14:55:00,HAM,MXP,SWISS,189,1,190,174
2026-03-09 14:50:00,HAM,MXP,"SWISS, Air Baltic",136,1,205,175
2026-03-12 06:45:00,MXP,HAM,SWISS,144,1,210,178
2026-03-13 06:55:00,MXP,HAM,"Air Dolomiti, Lufthansa",145,1,190,179
2026-03-15 18:50:00,HAM,MXP,SWISS,136,1,240,181
2026-03-16 14:50:00,HAM,MXP,"SWISS, Air Baltic",136,1,205,182
2026-03-19 10:40:00,MXP,HAM,SWISS,144,1,210,185
2026-03-20 06:55:00,MXP,HAM,"Air Dolomiti, Lufthansa",145,1,190,186
2026-03-22 14:55:00,HAM,MXP,"SWISS, Air Baltic",189,1,190,188
2026-03-23 11:05:00,HAM,MXP,Vueling,128,1,360,189
2026-03-26 10:40:00,MXP,HAM,SWISS,144,1,210,192
2026-03-27 14:40:00,MXP,HAM,"Air Dolomiti, Lufthansa",145,1,205,193
2026-03-29 20:00:00,HAM,MXP,SWISS,136,1,215,195
2026-03-30 09:05:00,HAM,MXP,easyJet,43,0,105,196
2026-04-02 08:35:00,MXP,HAM,Brussels Airlines,194,1,225,199
2026-04-03 14:35:00,MXP,HAM,"Air Dolomiti, Lufthansa",195,1,330,200
2026-04-05 14:00:00,HAM,MXP,Lufthansa,120,1,240,202
2026-04-06 15:00:00,HAM,MXP,Lufthansa,120,1,225,203
2026-01-29 12:15:00,AGP,HAM,Lufthansa,136,1,305,136
2026-01-30 12:15:00,AGP,HAM,Lufthansa,136,1,395,137
2026-02-01 08:25:00,HAM,AGP,"KLM, Transavia",104,1,660,139
2026-02-05 10:05:00,AGP,HAM,Eurowings,72,0,200,143
2026-02-06 13:00:00,AGP,HAM,SWISS,180,1,295,144
2026-02-08 09:20:00,HAJ,AGP,Lufthansa City AirlinesLufthansa,256,1,365,146
2026-02-12 13:00:00,AGP,HAM,SWISS,156,1,295,150
2026-02-13 13:00:00,AGP,HAM,SWISS,135,1,295,151
2026-02-15 07:00:00,HAM,AGP,Iberia,215,1,340,153
2026-02-19 12:15:00,AGP,HAM,Lufthansa,157,1,305,157
2026-02-20 12:15:00,AGP,HAM,Lufthansa,231,1,305,158
2026-02-22 07:00:00,HAM,AGP,Iberia,251,1,340,160
2026-02-26 13:00:00,AGP,HAM,SWISS,135,1,295,164
2026-02-27 12:15:00,AGP,HAM,Lufthansa,231,1,305,165
2026-03-01 06:30:00,HAJ,AGP,Eurowings,260,0,200,167
2026-03-05 22:30:00,GRX,HAJ,Vueling,98,1,855,171
2026-03-06 09:35:00,GRX,HAM,Vueling,98,1,625,172
2026-03-08 20:10:00,HAM,AGP,SWISS,170,1,295,174
2026-03-12 09:10:00,AGP,HAM,Iberia,157,1,365,178
2026-03-13 05:35:00,AGP,HAM,SWISS,156,1,740,179
2026-03-15 20:10:00,HAM,AGP,SWISS,144,1,295,181
2026-03-19 13:00:00,AGP,HAM,SWISS,135,1,295,185
2026-03-20 09:50:00,AGP,BRE,Eurowings,190,1,315,186
2026-03-22 11:05:00,HAM,AGP,VuelingIberia,163,1,375,188
2026-03-26 22:30:00,GRX,HAJ,Vueling,130,1,855,192
2026-03-27 17:35:00,AGP,HAM,Iberia,314,1,305,193
2026-03-29 06:00:00,HAM,AGP,Air France,136,1,780,195
2026-04-02 10:05:00,AGP,HAM,EurowingsLufthansa,160,1,410,199
2026-04-03 22:45:00,GRX,HAM,Vueling,155,1,710,200
2026-04-05 19:15:00,HAM,AGP,SWISS,201,1,295,202
2026-02-12 06:00:00,AGP,TFS,Tap Air Portugal,269,1,430,150
2026-02-13 20:25:00,AGP,TFN,VuelingIberia,65,0,150,151
2026-02-15 20:25:00,TFN,GRX,Vueling,215,1,695,153
2026-02-19 22:30:00,GRX,TFN,Vueling,213,1,740,157
2026-02-20 08:30:00,AGP,TFN,Air Europa,144,1,565,158
2026-02-22 10:30:00,TFN,AGP,VuelingIberia,207,1,350,160
2025-11-13 15:20:00,AGP,HAM,British AirwaysIberia,305,1,345,58
2025-11-15 13:40:00,AGP,HAM,Austrian,284,1,340,60
2025-11-16 12:15:00,AGP,HAM,Lufthansa,347,1,305,61
2025-10-31 22:30:00,GRX,HAM,VuelingIberia,284,1,715,45
2025-11-02 06:00:00,HAM,AGP,Air France,121,1,1060,47
2025-10-29 07:00:00,HAM,MAD,Iberia,133,0,180,43
2025-10-30 11:10:00,HAM,BIO,VuelingIberia,136,1,350,44
2025-10-31 14:20:00,HAM,AGP,Eurowings,220,0,200,45
2025-11-02 12:15:00,MAD,HAM,Iberia,529,0,180,47
2025-11-03 18:05:00,BIO,HAJ,"Air France, HOP!",270,1,240,48
2025-11-07 10:40:00,AGP,HAM,"Transavia, KLM",78,1,435,52
2025-11-09 11:20:00,HAM,AGP,"KLM, Transavia",104,1,500,54
2025-11-05 07:00:00,HAM,MAD,Iberia,126,0,180,50
2025-11-06 07:00:00,HAM,MAD,Iberia,133,0,180,51
2025-11-07 20:45:00,HAM,BIO,VuelingIberia,86,1,695,52
2025-11-09 06:00:00,AGP,HAM,"Tap Air Portugal, Portugalia - Companhia Portuguesa",177,1,350,54
2025-11-10 19:20:00,AGP,HAM,VuelingIberia,128,1,905,55
2025-11-14 13:00:00,AGP,HAM,SWISS,288,1,295,59
2025-11-16 20:45:00,HAM,GRX,Vueling,109,1,735,61
2025-11-12 07:00:00,HAM,MAD,Iberia,120,0,180,57
2025-11-13 06:05:00,HAM,BIO,KLM,104,1,315,58
2025-11-14 20:45:00,HAM,BIO,VuelingIberia,67,1,695,59
2025-11-16 11:55:00,BIO,HAM,KLM,77,1,360,61
2025-11-17 08:00:00,BIO,HAM,"Edelweiss Air, SWISS",167,1,360,62
2025-11-21 15:30:00,AGP,HAM,Brussels Airlines,129,1,405,66
2025-11-23 06:05:00,BRE,AGP,Lufthansa,156,1,345,68
2025-11-19 18:05:00,HAM,BIO,Air France,106,1,260,64
2025-11-20 10:50:00,HAJ,AGP,"KLM, Transavia",113,1,520,65
2025-11-21 07:00:00,HAM,MAD,Iberia,91,0,180,66
2025-11-23 19:05:00,AGP,HAM,Eurowings,150,0,200,68
2025-11-24 12:50:00,BIO,HAM,Lufthansa,196,1,255,69
2025-11-28 15:30:00,AGP,HAM,Brussels Airlines,129,1,405,73
